
extDB3: https://bitbucket.org/torndeco/extdb3/wiki/Home
extDB3: Version: 1.031
extDB3: Windows Version
Message: All development for extDB3 is done on a Linux Dedicated Server
Message: If you would like to Donate to extDB3 Development
Message: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=2SUEFTGABTAM2
Message: Also leave a message if there is any particular feature you would like to see added.
Message: Thanks for all the people that have donated.
Message: Torndeco: 18/05/15


extDB3: Found extdb3-conf.ini
extDB3: Detected 8 Cores, Setting up 6 Worker Threads
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...


[08:00:56:858611 +02:00] [Thread 13712] extDB3: MariaDBConnectorException: altislife: Can't connect to MySQL server on '127.0.0.1' (0)
[08:20:27:116535 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:20:27:907623 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:20:34:196100 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:20:39:152398 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:20:44:305064 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:20:49:256311 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:20:54:201439 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:20:59:141583 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:04:095772 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:09:042934 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:13:957038 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:18:904188 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:23:824827 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:28:764972 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:33:703137 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:38:628232 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:43:567385 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:48:533589 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:53:459707 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
[08:21:58:418929 +02:00] [Thread 13712] extDB3: Error Unknown Protocol: 1472  Input String: 2:1472:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198186551799'
